Feature_1,Feature_2,Correlation,Abs_Correlation
THD,dVc_dt,0.0024045305830819094,0.0024045305830819094
dVb_dt,Apparent_Power,-0.0023258032200064193,0.0023258032200064193
Iref_error,Ib_rollmean,0.002323228090065707,0.002323228090065707
Ic_Ia_ratio,is_zero_Iref,0.002323126493128669,0.002323126493128669
Ic_Ia_ratio,Apparent_Power,0.002292821804589545,0.002292821804589545
dVb_dt,Va_rollstd,0.002284980569893734,0.002284980569893734
is_zero_Iref,Ia_rollstd,0.0022129215388623663,0.0022129215388623663
Istd,Ia_rollstd,0.0021860348830803713,0.0021860348830803713
Istd,Power_VbIb,-0.002174912748907345,0.002174912748907345
Apparent_Power,Va_rollstd,0.0021194293883663555,0.0021194293883663555
THD,dVa_dt,-0.0021162507250524557,0.0021162507250524557
dVb_dt,Ic_rollstd,0.002096903378948559,0.002096903378948559
dImean_dt,Vb_rollstd,0.0020416830769523307,0.0020416830769523307
dImean_dt,Idiff_ca,0.002038276560108037,0.002038276560108037
dVc_dt,Va_rollstd,-0.0019610489891915043,0.0019610489891915043
is_zero_Iref,dVb_dt,0.0019557869207550206,0.0019557869207550206
dImean_dt,Power_VbIb,0.00194932178908432,0.00194932178908432
dVc_dt,is_zero_Iref,-0.001860569879300865,0.001860569879300865
Power_factor,Vb_rollstd,0.001814697720713273,0.001814697720713273
Ic_Ia_ratio,Ia_rollstd,0.0017751414392123705,0.0017751414392123705
Ic_Ia_ratio,Va_rollstd,0.0016997504432073533,0.0016997504432073533
THD,Iref_error,-0.0016756590878517262,0.0016756590878517262
Iref_error,Ic_rollstd,0.001618793838914749,0.001618793838914749
dImean_dt,dVa_dt,0.0016161212943488661,0.0016161212943488661
Power_VbIb,Vmean,0.0015772485709017712,0.0015772485709017712
Power_factor,Idiff_ca,0.0015275001983529846,0.0015275001983529846
Ic_Ia_ratio,dVa_dt,-0.0014861922873449151,0.0014861922873449151
THD,Power_factor,-0.001474422475370109,0.001474422475370109
dVb_dt,dIa_dt,-0.001465540752810024,0.001465540752810024
Istd,Power_factor,0.0014235684569565454,0.0014235684569565454
Power_VbIb,dIa_dt,0.0014085110663424692,0.0014085110663424692
THD,Imean,0.0013982430808374502,0.0013982430808374502
Ic_Ia_ratio,Power_VbIb,0.0012951502807161093,0.0012951502807161093
dVc_dt,Apparent_Power,-0.0012784027101285704,0.0012784027101285704
Imean,dVc_dt,0.001248712123730832,0.001248712123730832
Ib_rollmean,Va_rollstd,-0.0012031113425637504,0.0012031113425637504
dImean_dt,is_zero_Iref,-0.0010372035921070745,0.0010372035921070745
